step,depth,i
126,14,0.00153325
126,15,0.000688117
126,16,9.39036e-05
126,17,8.18601e-06
127,14,0.00143715
127,15,0.000664994
127,16,9.37738e-05
127,17,8.41559e-06
128,14,0.00134627
128,15,0.00064226
128,16,9.35259e-05
128,17,8.69625e-06
129,14,0.00126042
129,15,0.000619944
129,16,9.33033e-05
129,17,8.89936e-06
130,14,0.00117942
130,15,0.000598074
130,16,9.29983e-05
130,17,9.14317e-06
131,14,0.00110307
131,15,0.000576681
131,16,9.26141e-05
131,17,9.40795e-06
132,14,0.00103116
132,15,0.000555773
132,16,9.22234e-05
132,17,9.63457e-06
133,14,0.000963516
133,15,0.000535374
133,16,9.17687e-05
133,17,9.85224e-06
134,14,0.000899918
134,15,0.000515485
134,16,9.12827e-05
134,17,1.00612e-05
134,18,1e-08
135,14,0.000840179
135,15,0.000496133
135,16,9.07176e-05
135,17,1.03315e-05
135,18,2e-08
136,14,0.000784107
136,15,0.000477304
136,16,9.01562e-05
136,17,1.05538e-05
136,18,6e-08
137,14,0.000731506
137,15,0.000459021
137,16,8.95405e-05
137,17,1.08174e-05
137,18,4e-08
138,14,0.000682204
138,15,0.000441272
138,16,8.89227e-05
138,17,1.10726e-05
138,18,5e-08
139,14,0.000636017
139,15,0.000424058
139,16,8.82646e-05
139,17,1.13294e-05
139,18,4e-08
140,14,0.000592772
140,15,0.000407395
140,16,8.75883e-05
140,17,1.15382e-05
140,18,4e-08
141,14,0.000552307
141,15,0.000391277
141,16,8.68755e-05
141,17,1.17984e-05
141,18,8e-08
142,14,0.000514464
142,15,0.000375676
142,16,8.61582e-05
142,17,1.20502e-05
142,18,6e-08
143,14,0.000479092
143,15,0.000360557
143,16,8.54178e-05
143,17,1.23256e-05
143,18,1e-08
144,14,0.000446045
144,15,0.000345992
144,16,8.46358e-05
144,17,1.25733e-05
144,18,3e-08
145,14,0.000415175
145,15,0.000331959
145,16,8.38041e-05
145,17,1.28329e-05
145,18,6e-08
146,14,0.000386363
146,15,0.000318327
146,16,8.30643e-05
146,17,1.30747e-05
146,18,1e-07
147,14,0.000359471
147,15,0.00030523
147,16,8.22567e-05
147,17,1.33383e-05
147,18,1.04345e-07
148,14,0.000334382
148,15,0.000292583
148,16,8.1463e-05
148,17,1.36042e-05
148,18,1.08863e-07
149,14,0.000310984
149,15,0.000280466
149,16,8.05941e-05
149,17,1.38625e-05
149,18,1.2356e-07
150,14,0.000289181
150,15,0.000268734
150,16,7.97419e-05
150,17,1.41629e-05
150,18,1.18444e-07
151,14,0.000268861
151,15,0.000257468
151,16,7.8887e-05
151,17,1.44162e-05
151,18,1.43522e-07
152,14,0.00024992
152,15,0.000246663
152,16,7.80004e-05
152,17,1.46718e-05
152,18,1.69658e-07
153,14,0.000232278
153,15,0.000236305
153,16,7.70633e-05
153,17,1.49495e-05
153,18,1.96037e-07
154,14,0.000215853
154,15,0.000226302
154,16,7.6177e-05
154,17,1.52199e-05
154,18,2.23095e-07
155,14,0.000200563
155,15,0.000216671
155,16,7.53016e-05
155,17,1.55028e-05
155,18,2.30434e-07
156,14,0.000186316
156,15,0.000207392
156,16,7.44778e-05
156,17,1.57684e-05
156,18,2.18066e-07
157,14,0.000173051
157,15,0.000198523
157,16,7.36154e-05
157,17,1.60365e-05
157,18,2.36001e-07
158,14,0.000160754
158,15,0.00018995
158,16,7.27656e-05
158,17,1.63171e-05
158,18,2.24252e-07
159,14,0.000149319
159,15,0.000181743
159,16,7.18888e-05
159,17,1.66004e-05
159,18,2.22831e-07
160,14,0.00013865
160,15,0.00017391
160,16,7.09958e-05
160,17,1.68866e-05
160,18,2.61752e-07
161,14,0.000128754
161,15,0.000166307
161,16,7.02074e-05
161,17,1.71456e-05
161,18,2.81447e-07
162,14,0.00011957
162,15,0.000159085
162,16,6.92926e-05
162,17,1.74471e-05
162,18,2.81527e-07
163,14,0.000111008
163,15,0.000152132
163,16,6.84435e-05
163,17,1.77317e-05
163,18,3.02009e-07
164,14,0.000103037
164,15,0.000145517
164,16,6.75498e-05
164,17,1.80392e-05
164,18,2.92908e-07
165,14,9.56559e-05
165,15,0.000139177
165,16,6.66624e-05
165,17,1.83199e-05
165,18,2.94241e-07
166,14,8.87643e-05
166,15,0.000133112
166,16,6.57615e-05
166,17,1.86335e-05
166,18,3.06025e-07
167,14,8.23785e-05
167,15,0.000127261
167,16,6.48978e-05
167,17,1.89404e-05
167,18,3.28278e-07
168,14,7.64537e-05
168,15,0.000121607
168,16,6.4081e-05
168,17,1.92406e-05
168,18,3.71432e-07
169,14,7.0958e-05
169,15,0.000116212
169,16,6.32609e-05
169,17,1.95439e-05
169,18,3.85522e-07
170,14,6.58214e-05
170,15,0.000111105
170,16,6.24077e-05
170,17,1.98604e-05
170,18,4.20173e-07
171,14,6.10692e-05
171,15,0.000106165
171,16,6.16021e-05
171,17,2.01704e-05
171,18,4.85406e-07
172,14,5.66544e-05
172,15,0.000101487
172,16,6.07239e-05
172,17,2.05137e-05
172,18,5.05355e-07
173,14,5.25536e-05
173,15,9.69777e-05
173,16,5.98942e-05
173,17,2.08408e-05
173,18,5.36096e-07
174,14,4.87346e-05
174,15,9.27121e-05
174,16,5.90426e-05
174,17,2.11514e-05
174,18,5.78073e-07
175,14,4.51979e-05
175,15,8.85899e-05
175,16,5.82496e-05
175,17,2.14555e-05
175,18,6.01332e-07
176,14,4.18934e-05
176,15,8.46952e-05
176,16,5.74246e-05
176,17,2.17828e-05
176,18,6.25924e-07
177,14,3.8855e-05
177,15,8.09286e-05
177,16,5.66182e-05
177,17,2.21037e-05
177,18,6.61493e-07
178,14,3.60137e-05
178,15,7.7355e-05
178,16,5.58005e-05
178,17,2.24181e-05
178,18,7.18077e-07
179,14,3.34158e-05
179,15,7.38664e-05
179,16,5.50416e-05
179,17,2.27459e-05
179,18,7.46532e-07
180,14,3.10038e-05
180,15,7.05694e-05
180,16,5.4251e-05
180,17,2.30373e-05
180,18,8.36117e-07
181,14,2.87448e-05
181,15,6.73959e-05
181,16,5.34992e-05
181,17,2.33818e-05
181,18,8.68502e-07
182,14,2.66478e-05
182,15,6.44108e-05
182,16,5.26858e-05
