step,depth,i
404,14,0.000162076
404,15,3.84904e-05
405,13,6.58939e-05
405,14,0.000161565
405,15,3.97965e-05
406,13,6.36924e-05
406,14,0.000161044
406,15,4.11545e-05
407,13,6.15697e-05
407,14,0.000160503
407,15,4.2556e-05
408,13,5.95133e-05
408,14,0.000159964
408,15,4.39921e-05
409,13,5.75115e-05
409,14,0.000159415
409,15,4.54841e-05
410,13,5.55826e-05
410,14,0.000158847
410,15,4.70236e-05
411,13,5.37146e-05
411,14,0.000158271
411,15,4.86119e-05
412,13,5.18956e-05
412,14,0.000157696
412,15,5.02505e-05
413,13,5.01343e-05
413,14,0.000157122
413,15,5.19311e-05
414,13,4.83998e-05
414,14,0.00015653
414,15,5.36646e-05
415,13,4.67634e-05
415,14,0.000155929
415,15,5.54528e-05
416,13,4.51791e-05
416,14,0.000155311
416,15,5.73073e-05
417,13,4.36355e-05
417,14,0.000154694
417,15,5.921e-05
418,13,4.2111e-05
418,14,0.000154059
418,15,6.11822e-05
419,13,4.06741e-05
419,14,0.000153426
419,15,6.32061e-05
420,13,3.92835e-05
420,14,0.000152786
420,15,6.52932e-05
421,13,3.79477e-05
421,14,0.000152138
421,15,6.74451e-05
422,13,3.66754e-05
422,14,0.000151473
422,15,6.96739e-05
423,13,3.54453e-05
423,14,0.00015081
423,15,7.19617e-05
424,13,3.4196e-05
424,14,0.00015014
424,15,7.43202e-05
425,13,3.30565e-05
425,14,0.000149462
425,15,7.67415e-05
425,16,1e-08
426,13,3.18654e-05
426,14,0.000148778
426,15,7.92371e-05
426,16,3e-08
427,13,3.07515e-05
427,14,0.000148076
427,15,8.18293e-05
427,16,4e-08
428,13,2.96938e-05
428,14,0.000147377
428,15,8.44809e-05
428,16,8e-08
429,13,2.86612e-05
429,14,0.000146662
429,15,8.72233e-05
429,16,1e-07
430,13,2.76524e-05
430,14,0.000145949
430,15,9.00392e-05
430,16,1e-07
431,13,2.66866e-05
431,14,0.00014522
431,15,9.29605e-05
431,16,1.3e-07
