step,total_i
923,0.00155277
924,0.00156112
925,0.0015696
926,0.00157788
927,0.00158618
928,0.00159456
929,0.00160277
930,0.00161077
931,0.00161896
932,0.0016271
933,0.0016352
934,0.0016435
935,0.00165173
936,0.00165974
937,0.00166787
938,0.00167581
939,0.00168368
940,0.00169169
941,0.00169962
942,0.00170745
943,0.00171532
944,0.00172324
945,0.00173102
946,0.00173877
947,0.00174646
948,0.00175398
949,0.00176163
950,0.00176916
951,0.00177661
952,0.00178403
953,0.00179138
954,0.00179865
955,0.00180592
956,0.00181318
957,0.0018204
958,0.00182745
959,0.00183449
960,0.00184161
961,0.00184844
962,0.00185531
963,0.00186207
964,0.00186884
965,0.00187545
966,0.00188198
967,0.00188847
968,0.00189492
969,0.0019016
970,0.00190797
971,0.00191429
972,0.00192057
973,0.00192685
974,0.00193303
975,0.00193918
976,0.00194527
977,0.0019514
978,0.00195737
979,0.00196345
980,0.00196946
981,0.00197522
982,0.00198093
983,0.00198666
984,0.00199244
985,0.00199795
986,0.00200351
987,0.00200908
988,0.00201453
989,0.00201994
990,0.00202538
991,0.00203073
992,0.0020359
993,0.00204113
994,0.00204623
995,0.00205121
996,0.00205633
997,0.00206133
998,0.0020661
999,0.002071
1000,0.00207585
1001,0.00208059
1002,0.00208514
1003,0.00209002
1004,0.00209475
1005,0.0020991
1006,0.00210352
1007,0.0021081
1008,0.00211242
1009,0.00211676
1010,0.00212109
1011,0.00212539
1012,0.00212964
1013,0.00213372
1014,0.00213784
1015,0.00214177
1016,0.0021457
1017,0.00214933
1018,0.00215318
1019,0.00215695
1020,0.00216061
1021,0.00216439
1022,0.00216804
1023,0.00217163
1024,0.00217491
1025,0.00217821
1026,0.00218138
1027,0.0021843
1028,0.00218731
1029,0.00219024
1030,0.00219301
1031,0.00219567
1032,0.00219844
1033,0.00220103
1034,0.00220355
1035,0.00220573
1036,0.00220802
1037,0.00221031
1038,0.00221218
1039,0.00221423
1040,0.00221599
1041,0.00221759
1042,0.0022191
1043,0.00222038
1044,0.0022214
1045,0.00222232
1046,0.00222321
1047,0.00222385
1048,0.00222453
