id,parent_id,depth,creation_step,i,r,is_infected
393,334,30,932,0,5.23568e-05,0
394,344,31,935,0,0.00129208,0
395,319,29,937,0,1.28706e-06,0
396,335,30,937,0,2.7486e-05,0
397,324,29,938,0,3.36641e-08,0
398,336,30,940,0,3.40632e-05,0
399,322,29,942,0,1.1737e-07,0
400,356,31,942,0,0.000814817,0
401,303,30,943,0,1.16405e-05,0
402,330,30,943,0,1.44723e-05,0
403,335,30,943,0,4.06347e-06,0
404,347,31,948,0,6.57635e-05,0
405,310,29,950,0,2.69008e-09,0
406,334,30,951,0,3.20193e-06,0
407,356,31,951,0,0.000145191,0
408,347,31,954,0,0.000363943,0
409,375,32,955,0,0.00812929,0
410,324,29,957,0,1.48036e-08,0
411,364,31,961,0,7.78733e-06,0
412,364,31,964,0,7.46543e-06,0
413,375,32,966,0,0.00145523,0
414,372,31,972,0,2.02652e-05,0
415,376,31,972,0,5.90133e-05,0
416,369,31,973,0,1.33252e-06,0
417,377,32,976,0,0.00115411,0
418,377,32,977,0,0.000223429,0
419,376,31,979,0,1.53721e-05,0
420,310,29,982,0,6.73874e-09,0
421,372,31,983,0,1.57163e-05,0
422,358,31,985,0,1.07139e-06,0
423,400,32,985,0,0.000448268,0
424,360,31,986,0,5.51255e-06,0
425,363,31,986,0,6.8151e-06,0
426,394,32,986,0,0.00029995,0
427,369,31,989,0,9.99054e-06,0
428,363,31,990,0,1.42368e-05,0
429,384,32,990,0,0.0003704,0
430,389,31,990,0,5.71332e-06,0
431,384,32,991,0,0.000787437,0
432,394,32,992,0,0.000446448,0
433,386,31,993,0,3.21321e-07,0
434,360,31,994,0,1.53313e-05,0
435,389,31,995,0,1.05295e-07,0
436,400,32,995,0,0.000313875,0
437,355,30,996,0,6.78259e-08,0
438,358,31,996,0,4.07717e-06,0
439,371,31,996,0,1.96171e-05,0
440,380,31,998,0,1.48852e-05,0
441,393,31,999,0,2.09372e-06,0
442,355,30,1000,0,1.44187e-09,0
443,380,31,1001,0,1.57059e-07,0
444,409,33,1001,0,0.00817874,0
445,386,31,1002,0,5.36703e-06,0
446,393,31,1002,0,2.35886e-06,0
447,374,31,1003,0,3.75503e-06,0
448,408,32,1003,0,0.00014831,0
449,374,31,1005,0,9.91742e-06,0
450,367,31,1007,0,1.09711e-07,0
451,361,31,1008,0,1.31557e-06,0
452,370,31,1008,0,4.32353e-08,0
453,371,31,1008,0,2.98678e-06,0
454,361,31,1009,0,3.90629e-06,0
455,408,32,1011,0,4.74387e-05,0
456,409,33,1012,0,0.00405184,0
457,398,31,1017,0,5.72997e-06,0
458,407,32,1019,0,3.21406e-06,0
459,366,31,1021,0,7.75358e-09,0
460,398,31,1029,0,5.73993e-08,0
461,396,31,1032,0,3.09075e-09,0
462,367,31,1033,0,2.51776e-06,0
463,366,31,1037,0,2.47597e-08,0
464,407,32,1037,0,1.1278e-05,0
465,370,31,1044,0,4.6427e-09,0
466,423,33,1044,0,2.8737e-05,0
467,415,32,1046,0,2.69636e-07,0
468,417,33,1046,0,0.000164152,0
469,431,33,1046,0,0.000253798,0
470,404,32,1047,0,1.55607e-07,0
471,432,33,1047,0,8.97742e-05,0
472,423,33,1049,0,0.0001199,0
473,413,33,1050,0,0.000433739,0
474,417,33,1050,0,0.000387904,0
475,431,33,1052,0,0.00015857,0
476,368,31,1053,0,1.54795e-09,0
477,444,34,1053,0,0.00951247,0
478,404,32,1055,0,3.29648e-08,0
479,444,34,1055,0,0.00264699,0
480,413,33,1058,0,0.000230893,0
481,415,32,1062,0,6.61234e-09,0
482,396,31,1063,0,1.54978e-09,0
483,436,33,1063,0,0.0001409,0
484,426,33,1064,0,9.89661e-05,0
485,456,34,1064,0,0.0034401,0
486,429,33,1065,0,4.78403e-05,0
487,448,33,1066,0,1.24951e-05,0
488,436,33,1068,0,7.94439e-05,0
489,429,33,1069,0,3.85624e-05,0
490,432,33,1070,0,4.64489e-05,0
491,418,33,1071,0,4.8366e-05,0
492,426,33,1072,0,4.64303e-05,0
493,418,33,1073,0,1.06744e-05,0
